id_place;X;Y;h;Section;nom_commune;nom_quartier;nom_place;date_creation
pld21;292036.069;1635686.997;76.480;place d'affaire;Thiès ouest ;Some ;Auchan ;
pld22;292216.334;1635804.640;74.725;place d'affaire;Thiès ouest ;Some ;Action+;
pld23;292252.843;1635830.169;74.446;place d'affaire;Thiès ouest ;Randoulene;Ahmdouliha multiservice;2018-05-02
pld24;292313.511;1635872.155;73.930;place d'affaire;Thiès ouest;Randoulene;Podor business;2023-05-02
pld25;292353.318;1635880.080;73.313;place d'affaire;Thiès ouest ;Randoulene ;Touba multi services ;2023-05-02
pld26;292767.326;1636016.533;69.449;place d'affaire;Thiès ouest ;Randoulene ;Mon parent center ;
pld27;292784.668;1635862.579;71.613;place d'affaire;Thiès ouest;Randoulene;Touba Darou salam careaux;2023-05-02
pld28;292795.750;1635548.119;75.404;place d'affaire;Thiès ouest ;Randoulene Nord ;Angle Serigne fallou ;2005-11-03
pld29;292827.726;1635442.478;77.555;place d'affaire;Thiès ouest ;Randoulene Nord ;Multiservice ;
pld210;291551.280;1633788.375;88.072;place d'affaire;Thies ouest ;Parcelle;Multiservice ;2021-10-06
pld211;291443.839;1633649.449;88.365;place d'affaire;Thiès ouest ;Parcelle ;Multiservice ;2021-05-02
pld212;290635.312;1634173.732;93.170;place d'affaire;Thiès ouest ;Mbour1 ;Multiservice ;
pld213;290646.595;1634206.037;92.954;place d'affaire;Thiès ouest ;Mbour1 ;Complexe Ngary ;2001-02-23
pld214;290877.578;1634533.743;90.774;place d'affaire;Thiès ouest ;Mbour1 ;Touba Keur Baba Gueye ;
pld31;291911.569;1637193.087;64.730;place d'affaire;Thiès Nord ;Thialy;Maison des jeunes ;2023-05-02
pld32;293523.870;1636495.812;66.627;place d'affaire;Thiès Est;Aiglon;Palais d'Or;2023-04-23
pld33;292666.533;1636158.206;68.628;place d'affaire;Thiès Nord ;Carrière ;Place de France;
pld11;289726.811;1635027.240;88.917;place d'affaire;Thiès ouest;Grand standing;C3s;2017-07-03
pld12;289677.570;1635032.798;89.011;place d'affaire;Thiès ouest;Grand standing;Tapis rouge;2022-10-04
pld13;289092.875;1635225.159;85.234;place d'affaire;Thiès est ;Thiès none ;Wakeur khadim sarl;
pld14;288403.069;1635260.539;82.628;place d'affaire;Thiès ouest ;Thiès none ;Independence investment _Sarl;
pld15;289925.746;1634780.251;93.123;place d'affaire;Thiès ouest;Grand standing;Électronic vision security;2014-11-03
pld16;290071.425;1634782.152;92.589;place d'affaire;Thiès ouest ;Grand standing ;Sumatech;2022-11-01
pld17;290072.333;1634663.676;93.693;place d'affaire;Thiès ouest ;Grand standing ;E.S.B;
pld18;290084.976;1634663.558;93.726;place d'affaire;Thiès ouest;Grand standing;Quincaillerie mame Diarra 2;2015-10-07
pld19;290488.759;1633874.415;95.242;place d'affaire;Thiès ouest;Mbour 3;Carrefour market;
pld110;290375.990;1633521.578;96.642;place d'affaire;Thiès est;Sud stade;Alu distribution;2020-11-02
pld111;290037.217;1632640.027;99.580;place d'affaire;Thiès ouest;Fayou;Thiès outils;
